ID,Form,Meaning,Parameter_ID
5011fe57-c8ca-4c77-92e6-2c6b489c657b,d-o-wanse-g-än,REM.TR-3NDU`P-leave_alone-III.NPL-REM|FUT.3SG`S|A,
87e35b93-d679-4927-ab69-07ee73b7c12c,däba,that,
e-cop-pst-sg,=e,COP.PST.SG,
9ed4a76a-3f9e-48f0-92df-316115242e95,mängal-ae,,
1b5a18f8-ea85-4b52-ae37-995cddb003f0,g-u-ngmae-yän,REM.INTR-RT.EXT.INTR-go_around_(long_way)-REM|FUT.3SG`S|A,
7f5594d1-fd08-48fe-b860-acd3f14c30dc,nyongo,road,
a72e49cd-1ede-427e-ab95-54bc71db1045,dae,PERL,
5136ef8d-5f71-44fa-b6ad-a7ed371a29ea,d-a-ll-än,REM.TR-RT.EXT.TR-go-REM|FUT.3SG`S|A,
cff18472-aee9-4c11-8e21-c118f046ede1,ngattong,first,
9fb83d25-d9a2-4d79-a0cb-66f686cddbde,toko,top,
57594558-9f15-4970-a4f8-3b1ab32c318d,g-o-kak-al-än,REM.INTR-RT.EXT.INTR-enter-II.NPL-REM|FUT.3SG`S|A,
30ffb90d-3118-4314-aeed-74658bb214fe,polle~polle,DIMfence,
f5b256a3-30a7-48b0-9a47-1fb3e2770f88,alle,INS,
c27d1e5b-2dac-4b29-93d2-3d63bfa8c349,kätt-nan,make_fence-I|II.PL,
e87b7200-fc8a-47ae-b7da-be81424bbe90,att,ABL,
18a39944-fd67-4ec4-b606-a4e7a07d35fc,da,MED.DEM,
fa141f77-38cb-43d7-b8dc-af39caaf4d3c,llandär,listen,
ecf6cf7c-86a0-4d81-86ab-7989177fc315,g-o-g-n-än,REM.INTR-RT.EXT.INTR-AUX.NPRS-NPFV-REM|FUT.3SG`S|A,
bf191e0b-7d12-4f15-b31a-346b7ddcd189,g-o-tomon-n-än,REM.INTR-RT.EXT.INTR-wait-NPFV-REM|FUT.3SG`S|A,
cf3b1202-ddd1-4ae2-8a00-90f8722a5e5d,bälle,3SG.DAT,
6ac87d75-0161-47c3-acd5-db6265108220,allan,AUX.PRS.1|3SG`S,
b78c76a1-8232-4052-9b4d-8234a366535a,wiowa,wow,
71c2c968-8c82-4b08-94d8-49bbc63550ed,da,MED.DEM,
olle-all,=olle,ALL,
ddf53476-5671-4b0d-8723-cc23b92ad966,ibi,walk,
112ee5e5-7984-4846-af03-6296dce4c2b9,mer,good,
3929a550-626a-45df-ab11-1b285e345b9a,be,but,
11e0e2de-2c26-478d-a239-9e8406b7b27d,ttima~ttima,INFlimp,
af27bbeb-850b-475a-9869-b50d8a71048a,tatr-aem,footstep-IV.PL,
edc03841-529f-4a14-b039-526354c20ac1,yaya,father,
f3527bb6-2788-49ad-a2e3-247dae543674,d-ey-a-ndär-än,REM.TR-VEN-RT.EXT.TR-hear-REM|FUT.3SG`S|A,
b3adb066-a746-4376-bdea-00f505342f12,käsre,then,
3bcf3b53-2601-4771-8e5f-647314c40934,any,something,
b73f454d-b952-4054-9eef-009880504d68,ddoddollem,make_noise,
1f30a442-3ab6-4fb6-a965-b7b1cd971c18,d-ä-g-neg-än,REM.TR-3NDU`P-AUX.NPRS-SG>PL-REM|FUT.3SG`S|A,
e937ffd6-ee02-4823-84c0-86cee598b642,wattäll,leave_alone,
9c185ed4-4add-4581-a07a-bee63568f9a9,enda,what,
9b266057-2a6d-4688-bf4f-1329c2b7b58b,däbe-m,that-acc,
3038957c-6175-409b-b580-772efd798833,wiowa,wow,
2a32053c-fd8e-4857-9e62-73d89c86ecd4,dindu,run,
898dd52f-d191-4221-b92d-0a3822bbac7e,ede,so,
e67f2bd8-c8d8-43ab-a0bb-1fbd27ae97a2,era,which,
b7372d99-9932-4fb4-99f8-b3a31440e86a,päzäg,brother-in-law,
8ebf3d9a-89e9-438c-9f47-17bcb3d37e5a,gädo,loanword,
b7c09a7e-74da-4baa-b00f-4c06c23682ea,eka~eka,speakspeak,
ong-atr,=ong,ATR,
c76f3a13-830c-4ccd-8292-e91983c50d19,d-indug-mäll-n-än,REM.TR-run-DUR-NPFV-REM|FUT.3SG`S|A,
5d7972f6-0ae6-489b-9a6a-96881ed4a8c8,lel,fear,
55f6bf00-6af4-49ae-9da4-35d05763a73e,do,there,
